length,pct,attack,impl,time_ms,cpu_ms
1000,0.1,bidi,python,2.024,2.017
1000,0.1,bidi,cpp,0.276,0.275
1000,0.2,bidi,python,2.273,2.272
1000,0.2,bidi,cpp,0.329,0.329
1000,0.3,bidi,python,3.302,3.297
1000,0.3,bidi,cpp,1.087,1.083
1000,0.4,bidi,python,3.635,3.632
1000,0.4,bidi,cpp,0.657,0.656
1000,0.5,bidi,python,3.814,3.811
1000,0.5,bidi,cpp,0.634,0.633
5000,0.1,bidi,python,10.913,10.909
5000,0.1,bidi,cpp,1.475,1.474
5000,0.2,bidi,python,11.959,11.941
5000,0.2,bidi,cpp,1.887,1.886
5000,0.3,bidi,python,14.216,14.210
5000,0.3,bidi,cpp,2.364,2.362
5000,0.4,bidi,python,16.274,16.270
5000,0.4,bidi,cpp,2.797,2.796
5000,0.5,bidi,python,17.482,17.479
5000,0.5,bidi,cpp,2.962,2.961
10000,0.1,bidi,python,20.330,20.327
10000,0.1,bidi,cpp,3.274,3.272
10000,0.2,bidi,python,30.197,30.183
10000,0.2,bidi,cpp,3.796,3.794
10000,0.3,bidi,python,34.293,34.287
10000,0.3,bidi,cpp,5.052,5.049
10000,0.4,bidi,python,45.083,45.078
10000,0.4,bidi,cpp,9.411,9.406
10000,0.5,bidi,python,59.657,59.648
10000,0.5,bidi,cpp,11.030,11.027
