length,pct,attack,impl,time_ms,cpu_ms
1000,0.1,deletion,python,0.050,0.049
1000,0.1,deletion,cpp,0.007,0.007
1000,0.2,deletion,python,0.059,0.059
1000,0.2,deletion,cpp,0.007,0.006
1000,0.3,deletion,python,0.065,0.065
1000,0.3,deletion,cpp,0.007,0.007
1000,0.4,deletion,python,0.074,0.073
1000,0.4,deletion,cpp,0.007,0.007
1000,0.5,deletion,python,0.081,0.080
1000,0.5,deletion,cpp,0.008,0.008
5000,0.1,deletion,python,0.238,0.238
5000,0.1,deletion,cpp,0.024,0.023
5000,0.2,deletion,python,0.285,0.284
5000,0.2,deletion,cpp,0.024,0.024
5000,0.3,deletion,python,0.327,0.327
5000,0.3,deletion,cpp,0.030,0.029
5000,0.4,deletion,python,0.366,0.365
5000,0.4,deletion,cpp,0.032,0.032
5000,0.5,deletion,python,0.404,0.403
5000,0.5,deletion,cpp,0.041,0.040
10000,0.1,deletion,python,0.480,0.479
10000,0.1,deletion,cpp,0.042,0.042
10000,0.2,deletion,python,0.568,0.567
10000,0.2,deletion,cpp,0.055,0.054
10000,0.3,deletion,python,0.695,0.693
10000,0.3,deletion,cpp,0.060,0.060
10000,0.4,deletion,python,0.734,0.733
10000,0.4,deletion,cpp,0.116,0.115
10000,0.5,deletion,python,0.833,0.831
10000,0.5,deletion,cpp,0.141,0.140
