length,pct,attack,impl,time_ms,cpu_ms
1000,0.1,invisible,python_mcp,0.170,0.169
1000,0.1,invisible,cpp,0.014,0.014
1000,0.2,invisible,python_mcp,0.177,0.176
1000,0.2,invisible,cpp,0.016,0.015
1000,0.3,invisible,python_mcp,0.179,0.178
1000,0.3,invisible,cpp,0.018,0.017
1000,0.4,invisible,python_mcp,0.180,0.180
1000,0.4,invisible,cpp,0.023,0.023
1000,0.5,invisible,python_mcp,0.189,0.188
1000,0.5,invisible,cpp,0.023,0.022
5000,0.1,invisible,python_mcp,0.851,0.845
5000,0.1,invisible,cpp,0.088,0.087
5000,0.2,invisible,python_mcp,0.866,0.865
5000,0.2,invisible,cpp,0.115,0.115
5000,0.3,invisible,python_mcp,0.880,0.879
5000,0.3,invisible,cpp,0.136,0.136
5000,0.4,invisible,python_mcp,0.942,0.941
5000,0.4,invisible,cpp,0.158,0.158
5000,0.5,invisible,python_mcp,0.911,0.910
5000,0.5,invisible,cpp,0.174,0.174
10000,0.1,invisible,python_mcp,1.669,1.668
10000,0.1,invisible,cpp,0.183,0.183
10000,0.2,invisible,python_mcp,1.733,1.732
10000,0.2,invisible,cpp,0.241,0.241
10000,0.3,invisible,python_mcp,1.747,1.746
10000,0.3,invisible,cpp,0.303,0.302
10000,0.4,invisible,python_mcp,1.797,1.796
10000,0.4,invisible,cpp,0.325,0.324
10000,0.5,invisible,python_mcp,1.944,1.941
10000,0.5,invisible,cpp,0.373,0.372
