length,pct,attack,impl,time_ms,cpu_ms
1000,0.1,tag,python_aws,0.081,0.080
1000,0.1,tag,cpp,1.493,1.491
1000,0.2,tag,python_aws,0.083,0.082
1000,0.2,tag,cpp,1.480,1.478
1000,0.3,tag,python_aws,0.090,0.089
1000,0.3,tag,cpp,1.520,1.518
1000,0.4,tag,python_aws,0.095,0.094
1000,0.4,tag,cpp,1.466,1.465
1000,0.5,tag,python_aws,0.102,0.101
1000,0.5,tag,cpp,1.485,1.484
5000,0.1,tag,python_aws,0.381,0.380
5000,0.1,tag,cpp,2.340,2.338
5000,0.2,tag,python_aws,0.923,0.919
5000,0.2,tag,cpp,1.567,1.565
5000,0.3,tag,python_aws,0.464,0.462
5000,0.3,tag,cpp,1.629,1.625
5000,0.4,tag,python_aws,0.479,0.478
5000,0.4,tag,cpp,1.522,1.520
5000,0.5,tag,python_aws,0.563,0.562
5000,0.5,tag,cpp,1.750,1.747
10000,0.1,tag,python_aws,0.855,0.852
10000,0.1,tag,cpp,1.492,1.490
10000,0.2,tag,python_aws,0.834,0.832
10000,0.2,tag,cpp,1.534,1.533
10000,0.3,tag,python_aws,0.874,0.873
10000,0.3,tag,cpp,1.629,1.627
10000,0.4,tag,python_aws,0.947,0.942
10000,0.4,tag,cpp,1.640,1.639
10000,0.5,tag,python_aws,1.026,1.024
10000,0.5,tag,cpp,2.441,2.438
