length,pct,attack,impl,time_ms,cpu_ms
1000,0.1,variation,python,6.957,6.948
1000,0.1,variation,cpp,10.135,10.129
1000,0.2,variation,python,6.868,6.860
1000,0.2,variation,cpp,7.760,7.755
1000,0.3,variation,python,6.225,6.222
1000,0.3,variation,cpp,7.510,7.507
1000,0.4,variation,python,5.837,5.835
1000,0.4,variation,cpp,7.687,7.683
1000,0.5,variation,python,5.978,5.976
1000,0.5,variation,cpp,7.496,7.494
5000,0.1,variation,python,6.340,6.337
5000,0.1,variation,cpp,7.528,7.526
5000,0.2,variation,python,7.197,7.193
5000,0.2,variation,cpp,9.534,9.530
5000,0.3,variation,python,7.403,7.400
5000,0.3,variation,cpp,9.219,9.211
5000,0.4,variation,python,8.082,8.079
5000,0.4,variation,cpp,7.709,7.706
5000,0.5,variation,python,6.904,6.901
5000,0.5,variation,cpp,7.683,7.681
10000,0.1,variation,python,7.187,7.184
10000,0.1,variation,cpp,8.381,8.377
10000,0.2,variation,python,7.405,7.400
10000,0.2,variation,cpp,9.461,9.456
10000,0.3,variation,python,9.597,9.587
10000,0.3,variation,cpp,10.926,10.918
10000,0.4,variation,python,8.974,8.971
10000,0.4,variation,cpp,7.994,7.989
10000,0.5,variation,python,8.630,8.626
10000,0.5,variation,cpp,8.537,8.532
