budget,config,sanitize_ms,recovered,recovery_rate
0,all_individual,0.03,1000/1000,100.0%
0,bidi_combined,0.03,1000/1000,100.0%
10,all_individual,0.09,1000/1000,100.0%
10,bidi_combined,0.10,1000/1000,100.0%
20,all_individual,0.13,1000/1000,100.0%
20,bidi_combined,0.15,1000/1000,100.0%
30,all_individual,0.17,1000/1000,100.0%
30,bidi_combined,0.15,1000/1000,100.0%
40,all_individual,0.28,999/1000,99.9%
40,bidi_combined,0.26,999/1000,99.9%
50,all_individual,0.32,1000/1000,100.0%
50,bidi_combined,0.30,1000/1000,100.0%
60,all_individual,0.40,1000/1000,100.0%
60,bidi_combined,0.33,1000/1000,100.0%
70,all_individual,0.44,1000/1000,100.0%
70,bidi_combined,0.39,1000/1000,100.0%
80,all_individual,0.50,1000/1000,100.0%
80,bidi_combined,0.45,1000/1000,100.0%
90,all_individual,0.57,1000/1000,100.0%
90,bidi_combined,0.53,1000/1000,100.0%
