budget,attack,attack_success_rate,defense_recovery_rate,avg_perturb_prob_drop
0,tag,0.0%,100.0%,0.0000
0,variation_selector,0.0%,100.0%,0.0000
0,invisible,0.0%,100.0%,0.0000
0,homoglyph,0.0%,100.0%,0.0000
0,deletion,0.0%,100.0%,0.0000
0,bidi,0.0%,100.0%,0.0000
0,combined,0.0%,100.0%,0.0000
1,tag,6.0%,100.0%,0.1242
1,variation_selector,9.0%,100.0%,0.0695
1,invisible,6.0%,100.0%,0.0746
1,homoglyph,0.0%,100.0%,0.0000
1,deletion,7.0%,100.0%,0.1154
1,bidi,8.0%,92.0%,0.0818
1,combined,29.0%,100.0%,0.3699
2,tag,16.0%,100.0%,0.2258
2,variation_selector,14.0%,100.0%,0.2380
2,invisible,19.0%,100.0%,0.1417
2,homoglyph,0.0%,100.0%,0.0000
2,deletion,15.0%,100.0%,0.1321
2,bidi,14.0%,84.0%,0.1453
2,combined,47.0%,100.0%,0.4250
3,tag,12.0%,100.0%,0.2020
3,variation_selector,19.0%,100.0%,0.2748
3,invisible,22.0%,100.0%,0.1842
3,homoglyph,0.0%,100.0%,0.0000
3,deletion,24.0%,100.0%,0.2087
3,bidi,25.0%,75.0%,0.1438
3,combined,53.0%,100.0%,0.4682
4,tag,30.0%,100.0%,0.3025
4,variation_selector,28.0%,100.0%,0.3515
4,invisible,23.0%,100.0%,0.1917
4,homoglyph,0.0%,100.0%,0.0000
4,deletion,28.0%,100.0%,0.2514
4,bidi,32.0%,69.0%,0.2506
4,combined,55.0%,100.0%,0.4910
5,tag,29.0%,100.0%,0.4013
5,variation_selector,28.0%,100.0%,0.3550
5,invisible,29.0%,100.0%,0.2220
5,homoglyph,0.0%,100.0%,0.0000
5,deletion,37.0%,100.0%,0.3079
5,bidi,42.0%,57.0%,0.2840
5,combined,66.0%,100.0%,0.5358
6,tag,27.0%,100.0%,0.3882
6,variation_selector,34.0%,100.0%,0.4203
6,invisible,31.0%,100.0%,0.2757
6,homoglyph,0.0%,100.0%,0.0000
6,deletion,36.0%,100.0%,0.2983
6,bidi,44.0%,56.0%,0.2556
6,combined,72.0%,100.0%,0.4658
7,tag,37.0%,100.0%,0.4970
7,variation_selector,38.0%,100.0%,0.4528
7,invisible,34.0%,100.0%,0.2447
7,homoglyph,0.0%,100.0%,0.0000
7,deletion,39.0%,100.0%,0.3091
7,bidi,49.0%,51.0%,0.2473
7,combined,67.0%,100.0%,0.4514
8,tag,42.0%,100.0%,0.5293
8,variation_selector,36.0%,100.0%,0.4466
8,invisible,43.0%,100.0%,0.3155
8,homoglyph,0.0%,100.0%,0.0000
8,deletion,48.0%,100.0%,0.3643
8,bidi,51.0%,49.0%,0.2934
8,combined,70.0%,100.0%,0.4165
9,tag,44.0%,100.0%,0.5381
9,variation_selector,44.0%,100.0%,0.5079
9,invisible,37.0%,100.0%,0.2775
9,homoglyph,0.0%,100.0%,0.0000
9,deletion,41.0%,100.0%,0.3504
9,bidi,58.0%,42.0%,0.2840
9,combined,72.0%,100.0%,0.4267
10,tag,41.0%,100.0%,0.5428
10,variation_selector,44.0%,100.0%,0.5557
10,invisible,42.0%,100.0%,0.3227
10,homoglyph,0.0%,100.0%,0.0000
10,deletion,53.0%,100.0%,0.3289
10,bidi,55.0%,43.0%,0.2851
10,combined,73.0%,100.0%,0.3953
